id,category,pdf,page,char_count,comet_qe,labse_cos,bertscore_xlmr_f1,source_en,target_es
ae76ca67473711e2,abrasive_metering_valves,ZVP-PC-0071-01.pdf,1,77,0.7640,0.8847,0.9201,SECTION GENERAL INFORMATION INTRODUCTION PREPARATION FOR OPERATION Manual No.,SECCIÓN DE INFORMACIÓN GENERAL. INTRODUCCIÓN. PREPARACIÓN PARA EL MANUAL DE OPERACIONES. NO.
b559ad378a4ed390,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,221,0.8465,0.9556,0.9380,GENERAL INFORMATION All products and equipment designed and manufactured by Pan Abrasives are intended for use by experienced users of abrasive blasting equipment and its associated operations and abrasive blasting media.,INFORMACIÓN GENERAL Todos los productos y equipos diseñados y fabricados por Pan Abrasives están destinados al uso por usuarios experimentados de equipos de voladura abrasiva y sus operaciones asociadas y medios de voladura abrasiva.
b3d04b46799ee7f9,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,140,0.8193,0.8851,0.9250,It is the responsibility of the user to: Determine the equipment and abrasive media is suitable for the users' intended use and application.,Es responsabilidad del usuario: Determinar el equipo y los medios abrasivos es adecuado para el uso y aplicación previstos por el usuario.
ae0636401be3d40c,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,143,0.8671,0.9256,0.9248,"Familiarize themselves with any appropriate laws, regulations and safe working practices which may apply within the users' working environment.","Familiarícese con las leyes, reglamentos y prácticas laborales seguras que puedan aplicarse en el entorno de trabajo de los usuarios."
e46f9373f151df25,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,210,0.8318,0.9087,0.8963,"Provide appropriate operator training and safe working environment including operator protective equipment such as, but not limited to, blasting suit, safety footwear, protective eyewear and hearing protection.","Proveer formación adecuada al operador y un ambiente de trabajo seguro, incluyendo el equipo de protección del operador, como, por ejemplo, el traje de voladura, las zapatillas de seguridad, los gafas protectoras y la protección auditiva."
01949fdb65dfe639,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,58,0.8604,0.9150,0.9077,Pan Abrasives Standard Terms and Conditions of Sale apply.,Se aplican los términos y condiciones estándares de venta de Pan Abrasivos.
06025356fd715b18,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,112,0.8626,0.9446,0.9218,Contact your local Pan Abrasives office or distributor should you require any further information or assistance.,Póngase en contacto con su oficina local de Pan Abrasivos o distribuidor si necesita más información o ayuda.
f7bf4e62b07165ab,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,316,0.8429,0.9304,0.9162,"WARNING ! – READ THIS SECTION CAREFULLY BEFORE USING THIS EQUIPMENT Heavy metal paint, asbestos and other toxic material dusts will cause serious lung disease or death without the use of properly designed and approved air supplied respiratory equipment by blast operators and all personnel within the work site area.","¡ATENCIÓN! – LEER ATENTAMENTE ESTA SECCIÓN ANTES DE USAR EL EQUIPO. La pintura de metal pesado, el amianto y otros polvos de material tóxico causarán enfermedades pulmonares graves o la muerte sin el uso de equipos respiratorios adecuadamente diseñados y aprobados por los operadores de explosión y todo el personal dentro del área de trabajo."
9efa6649fc5c81b5,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,211,0.8710,0.9095,0.9322,The compressor must have adequate output and the plumbing between the compressor and the point of attaching the air supply hose must have sufficient capacity to supply the volume of air at the pressure required.,El compresor deberá tener una salida adecuada y la tubería entre el compresor y el punto de fijación de la manguera de suministro de aire deberá tener la capacidad suficiente para suministrar el volumen de aire a la presión requerida.
432ef796a353c040,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,245,0.8423,0.8772,0.9040,"Standard Safety Precautions Approved safety eyewear, hearing and footwear protection should be worn at all times by the operator and anyone else in the immediate area that may be exposed to any hazards generated by the abrasive blasting process.","Precauciones de seguridad estándar: El operador y cualquier otra persona en el área inmediata que pueda estar expuesta a cualquier peligro generado por el proceso de voladura abrasiva deben usar en todo momento gafas de seguridad, audífonos y protección del calzado."
